MI_PRINX,offense_id,rpt_date,occur_date,occur_time,poss_date,poss_time,beat,apt_office_prefix,apt_office_num,location,MinOfucr,MinOfibr_code,dispo_code,MaxOfnum_victims,Shift,Avg Day,loc_type,UC2 Literal,neighborhood,npu,x,y
7366952,162680163,02/25/2017,09/24/2016,01:00:00,09/24/2016,01:00:00,204,,,1000 COLLIER RD NW,0315,1207,,2,Morn,Sat,,ROBBERY-RESIDENCE,Underwood Hills,D,-84.420289999999994,33.8095
7370443,163090763,01/02/2017,11/04/2016,23:00:00,01/02/2017,23:00:00,306,,,1690 MELROSE PLACE SW,0640,2305,,1,Unk,Unk,4,LARCENY-FROM VEHICLE,Sylvan Hills,X,-84.420929999999998,33.708939999999998
7371856,163282668,04/20/2017,11/23/2016,19:00:00,11/23/2016,20:00:00,211,,,2470 CAMELLIA LN NE,0710,2404,10,1,Eve,Wed,18,AUTO THEFT,Lindbergh/Morosgo,B,-84.371229999999997,33.823459999999997
7373785,163522791,01/02/2017,12/18/2016,01:00:00,12/18/2016,01:30:00,303,,,689 FORMWALT ST SW,0640,2305,,1,Morn,Sun,18,LARCENY-FROM VEHICLE,Mechanicsville,V,-84.394379999999998,33.736989999999999
7373854,163532016,01/19/2017,12/18/2016,16:46:00,12/18/2016,16:50:00,506,,,848 MENTELLE DR NE,0640,2305,,1,Eve,Sun,,LARCENY-FROM VEHICLE,Midtown,E,-84.374279999999999,33.777769999999997
7374506,163611568,01/28/2017,01/28/2017,16:00:00,01/28/2017,16:30:00,412,,,4490 DANFORTH RD SW,0640,2305,,1,Eve,Sat,20,LARCENY-FROM VEHICLE,Midwest Cascade,Q,-84.535780000000003,33.725070000000002
7374902,170010040,01/01/2017,01/01/2017,00:00:00,01/01/2017,00:05:00,304,,,1192 PRYOR,0311,1212,,1,Morn,Sun,18,ROBBERY-PEDESTRIAN,Pittsburgh,V,-84.393749999999997,33.721640000000001
7374903,170010079,01/01/2017,01/01/2017,00:00:00,01/01/2017,00:10:00,413,,,3580 CAMPBELLTON RD SW,0640,2305,,1,Morn,Sun,23,LARCENY-FROM VEHICLE,,P,-84.505840000000006,33.689900000000002
7374904,170010151,01/01/2017,01/01/2017,00:26:00,01/31/2017,12:17:00,503,,,I-75-85 NB EXPY NW / 10TH ST NW,0650,2304,,1,Unk,Unk,13,LARCENY-FROM VEHICLE,Midtown,E,-84.390870000000007,33.781529999999997
7374905,170010192,01/01/2017,12/31/2016,22:30:00,01/01/2017,00:45:00,307,,,2002 REYNOLDS DR SW,0710,2404,,1,Morn,Sat,99,AUTO THEFT,Lakewood Heights,Y,-84.399730000000005,33.699829999999999
7374906,170010193,01/01/2017,12/31/2016,22:30:00,01/01/2017,00:45:00,402,,,840 ATWOOD ST SW,0640,2305,,1,Morn,Sat,20,LARCENY-FROM VEHICLE,Oakland City,S,-84.429159999999996,33.732140000000001
7374907,170010206,01/01/2017,01/01/2017,00:30:00,01/01/2017,00:40:00,112,,,2778 DALE CREEK DR NW,0521,2204,,1,Morn,Sun,20,BURGLARY-RESIDENCE,Collier Heights,I,-84.478390000000005,33.765230000000003
7374908,170010232,01/01/2017,12/30/2016,23:30:00,12/31/2016,23:50:00,605,,,300 MARTIN L KING JR DR SE,0640,2305,,1,Unk,Sat,26,LARCENY-FROM VEHICLE,Oakland,W,-84.378749999999997,33.74803
7374909,170010294,01/01/2017,12/31/2016,19:00:00,01/01/2017,00:30:00,507,,,425 MARKHAM ST,0640,2305,,1,Eve,Sat,,LARCENY-FROM VEHICLE,Downtown,M,-84.394750000000002,33.748750000000001
7374910,170010325,01/01/2017,12/23/2016,06:00:00,12/31/2016,20:45:00,208,APT,814,3432 PIEDMONT RD NE,0511,2202,,1,Unk,Unk,26,BURGLARY-RESIDENCE,Buckhead Forest,B,-84.37567,33.848979999999997
7374911,170010423,01/01/2017,01/01/2017,01:55:00,01/01/2017,01:55:00,610,,,200 CLIFTON ST SE,0511,2202,10,1,Morn,Sun,20,BURGLARY-RESIDENCE,Kirkwood,O,-84.331580000000002,33.747819999999997
7374912,170010481,01/01/2017,01/01/2017,00:00:00,01/01/2017,02:15:00,504,,,375 LUCKIE ST NW,0430,1315,20,1,Morn,Sun,3,AGG ASSAULT,Downtown,M,-84.396839999999997,33.764949999999999
7374913,170010499,01/01/2017,01/01/2017,02:00:00,01/01/2017,02:22:00,113,,,2711 MARCO DR NW,0430,1315,10,1,Morn,Sun,20,AGG ASSAULT,Lincoln Homes,G,-84.476590000000002,33.800469999999997
7374914,170010567,01/01/2017,12/31/2016,22:30:00,01/01/2017,02:51:00,101,APT,1604,565 GREENSFERRY AVE SW,0511,2202,,2,Morn,Sun,,BURGLARY-RESIDENCE,The Villages at Castleberry H,T,-84.406750000000002,33.746510000000001
7374915,170010583,01/01/2017,01/01/2017,02:50:00,01/01/2017,02:57:00,411,,,3030 HEADLAND DR SW,0512,2203,,1,Morn,Sun,24,BURGLARY-NONRES,Greenbriar,R,-84.48742,33.688409999999998
7374916,170010593,01/01/2017,12/31/2016,01:00:00,01/01/2017,03:03:00,309,,,2640 METROPOLITAN PKWY SW,0640,2305,,1,Unk,Sat,18,LARCENY-FROM VEHICLE,Perkerson,X,-84.407439999999994,33.682630000000003
7374917,170010600,01/01/2017,01/01/2017,02:55:00,01/01/2017,03:00:00,212,,,1899 CHESHIRE BRIDGE RD NE,0347,1299S,,1,Morn,Sun,18,ROBBERY-PEDESTRIAN,Morningside/Lenox Park,F,-84.360849999999999,33.809660000000001
